,Volatility_Tin_True_train,Volatility_Tin_5_train_LSTM,Volatility_Tin_5_train_real_LSTM,Volatility_Tin_22_train_LSTM,Volatility_Tin_22_train_real_LSTM
2009-06-05,0.5110143591446638,0.5487415,0.505942060913039,0.30152717,0.29883678361290716
2009-06-08,0.5063223724845284,0.5307639,0.5111216384405486,0.30817962,0.30609511763979436
2009-06-09,0.5122396476665906,0.5317998,0.5098216358242444,0.31758547,0.3826182353694091
2009-06-10,0.5261289297311913,0.5306853,0.47671188275174947,0.37225565,0.47469796607712234
2009-06-11,0.5263058185687738,0.50075024,0.437408659687206,0.46525055,0.48135500588486146
2009-06-12,0.505942060913039,0.46110597,0.43115326053822267,0.51840925,0.4957484381443684
2009-06-15,0.5111216384405486,0.4465355,0.4078844077802256,0.54731405,0.5049270232669526
2009-06-16,0.5098216358242444,0.42523536,0.3588849303462889,0.5609528,0.5063171954182619
2009-06-17,0.47671188275174947,0.38123196,0.316897791037091,0.563544,0.5054247938003821
2009-06-18,0.437408659687206,0.3352811,0.3120038767456873,0.56085485,0.5357175567717535
2009-06-19,0.43115326053822267,0.3172645,0.3130188818867203,0.57864624,0.5243310354051673
2009-06-22,0.4078844077802256,0.3168074,0.2870026011893939,0.5764171,0.49145550430344886
2009-06-23,0.3588849303462889,0.30091622,0.286604612182926,0.549946,0.49679560814385404
2009-06-24,0.316897791037091,0.29444653,0.3136360803534439,0.5447461,0.5229251812842237
2009-06-25,0.3120038767456873,0.3182934,0.29218151220848537,0.56056565,0.5204438937172182
2009-06-26,0.3130188818867203,0.30727932,0.2875751863289106,0.5646318,0.5243578997137963
2009-06-29,0.2870026011893939,0.2993463,0.29109176518778906,0.56915015,0.5273019405596108
2009-06-30,0.286604612182926,0.30024326,0.29883678361290716,0.5723079,0.5340652082897769
2009-07-01,0.3136360803534439,0.30754608,0.30609511763979436,0.5768347,0.5384511017631174
2009-07-02,0.29218151220848537,0.31792605,0.3826182353694091,0.5825596,0.5415058657631902
2009-07-03,0.2875751863289106,0.38501704,0.47469796607712234,0.58646965,0.5846201929641328
2009-07-06,0.29109176518778906,0.48035827,0.48135500588486146,0.61641943,0.6133361015262312
2009-07-07,0.29883678361290716,0.5103545,0.4957484381443684,0.6476334,0.6182551723686844
2009-07-08,0.30609511763979436,0.52600133,0.5049270232669526,0.66317827,0.6559680886847508
2009-07-09,0.3826182353694091,0.53090274,0.5063171954182619,0.68865436,0.661155557150426
2009-07-10,0.47469796607712234,0.5295755,0.5054247938003821,0.6984712,0.6650523517441922
2009-07-13,0.48135500588486146,0.5285961,0.5357175567717535,0.70508397,0.6514486276750894
2009-07-14,0.4957484381443684,0.5535256,0.5243310354051673,0.6966638,0.6782816740323814
2009-07-15,0.5049270232669526,0.54860896,0.49145550430344886,0.7102523,0.6788985862411225
2009-07-16,0.5063171954182619,0.5175594,0.49679560814385404,0.71484315,0.7248034175964644
2009-07-17,0.5054247938003821,0.5162433,0.5229251812842237,0.7453367,0.7267938211460713
2009-07-20,0.5357175567717535,0.53871524,0.5204438937172182,0.7565018,0.7734547862024077
2009-07-21,0.5243310354051673,0.542039,0.5243578997137963,0.7906276,0.7488234782385869
2009-07-22,0.49145550430344886,0.54752433,0.5273019405596108,0.7863193,0.6606012118527956
2009-07-23,0.49679560814385404,0.54989487,0.5340652082897769,0.7219757,0.6563038116223736
2009-07-24,0.5229251812842237,0.5552711,0.5384511017631174,0.70057476,0.6525271858624551
2009-07-27,0.5204438937172182,0.56029886,0.5415058657631902,0.6899586,0.6611063192291802
2009-07-28,0.5243578997137963,0.56367177,0.5846201929641328,0.69041276,0.6578099497291485
2009-07-29,0.5273019405596108,0.60032284,0.6133361015262312,0.6877925,0.6576506921983823
2009-07-30,0.5340652082897769,0.6312203,0.6182551723686844,0.68646467,0.637118921582791
2009-07-31,0.5384511017631174,0.64105004,0.6559680886847508,0.6718973,0.6338261983506444
2009-08-03,0.5415058657631902,0.6737677,0.661155557150426,0.66459453,0.6326979945518282
2009-08-04,0.5846201929641328,0.6817964,0.6650523517441922,0.6602252,0.6505236170630287
2009-08-05,0.6133361015262312,0.6864114,0.6514486276750894,0.6701359,0.630301629727843
2009-08-06,0.6182551723686844,0.67450875,0.6782816740323814,0.6605875,0.6305205575037767
2009-08-07,0.6559680886847508,0.6955365,0.6788985862411225,0.6565346,0.6229919731470637
2009-08-10,0.661155557150426,0.6987175,0.7248034175964644,0.65045726,0.6268094440052807
2009-08-11,0.6650523517441922,0.7383631,0.7267938211460713,0.6510495,0.6223985329546926
2009-08-12,0.6514486276750894,0.7450875,0.7734547862024077,0.64886785,0.6287174393183391
2009-08-13,0.6782816740323814,0.78625816,0.7488234782385869,0.65164036,0.6200546117614267
2009-08-14,0.6788985862411225,0.768954,0.6606012118527956,0.6470922,0.5786160786286406
2009-08-17,0.7248034175964644,0.68630785,0.6563038116223736,0.6149808,0.5509424657482417
2009-08-18,0.7267938211460713,0.674515,0.6525271858624551,0.58390915,0.5440940331725509
2009-08-19,0.7734547862024077,0.67159426,0.6611063192291802,0.56926197,0.5015385332426328
2009-08-20,0.7488234782385869,0.67823327,0.6578099497291485,0.53364015,0.4974362392899182
2009-08-21,0.6606012118527956,0.67878664,0.6576506921983823,0.52139914,0.5283626652565855
2009-08-24,0.6563038116223736,0.6786871,0.637118921582791,0.5393117,0.5377131436171906
2009-08-25,0.6525271858624551,0.66008115,0.6338261983506444,0.5547078,0.5029136096690279
2009-08-26,0.6611063192291802,0.6551644,0.6326979945518282,0.5359446,0.517277771999772
2009-08-27,0.6578099497291485,0.6535109,0.6505236170630287,0.5398198,0.4590332925181734
2009-08-28,0.6576506921983823,0.6684867,0.630301629727843,0.498293,0.4545277654815091
2009-08-31,0.637118921582791,0.6534022,0.6305205575037767,0.48061958,0.3728382621183588
2009-09-01,0.6338261983506444,0.6523112,0.6229919731470637,0.4187599,0.33297051174867226
2009-09-02,0.6326979945518282,0.64481974,0.6268094440052807,0.36643603,0.36438935800567374
2009-09-03,0.6505236170630287,0.64728314,0.6223985329546926,0.36563268,0.3505271796618973
2009-09-04,0.630301629727843,0.64403546,0.6287174393183391,0.3626911,0.35108084304839526
2009-09-07,0.6305205575037767,0.6493161,0.6200546117614267,0.36179972,0.33523960010008974
2009-09-08,0.6229919731470637,0.64229786,0.5786160786286406,0.35163245,0.338306854906571
2009-09-09,0.6268094440052807,0.6033639,0.5509424657482417,0.3493587,0.3405260193954367
2009-09-10,0.6223985329546926,0.5731879,0.5440940331725509,0.3518652,0.3459707920837168
2009-09-11,0.6287174393183391,0.56333745,0.5015385332426328,0.3581627,0.3667351757978552
2009-09-14,0.6200546117614267,0.5243952,0.4974362392899182,0.3770644,0.36998557843688507
2009-09-15,0.5786160786286406,0.51526374,0.5283626652565855,0.39024973,0.3635757614553937
2009-09-16,0.5509424657482417,0.5427972,0.5377131436171906,0.39069685,0.3656976809385559
2009-09-17,0.5440940331725509,0.5566038,0.5029136096690279,0.39154568,0.3714311224984881
2009-09-18,0.5015385332426328,0.5298742,0.517277771999772,0.3967762,0.37323896952676816
2009-09-21,0.4974362392899182,0.5373169,0.4590332925181734,0.4002819,0.35539520933081836
2009-09-22,0.5283626652565855,0.48609018,0.4545277654815091,0.3877334,0.3777983954375803
2009-09-23,0.5377131436171906,0.47047883,0.3728382621183588,0.3984343,0.37776556321786836
2009-09-24,0.5029136096690279,0.40351447,0.33297051174867226,0.40503892,0.3788622692683754
2009-09-25,0.517277771999772,0.348872,0.36438935800567374,0.40776405,0.41403650408924897
2009-09-28,0.4590332925181734,0.36337525,0.3505271796618973,0.43419147,0.4869510809831177
2009-09-29,0.4545277654815091,0.36034435,0.35108084304839526,0.49480247,0.48682786621846397
2009-09-30,0.3728382621183588,0.3659799,0.33523960010008974,0.5279959,0.4871182731465319
2009-10-01,0.33297051174867226,0.35342282,0.338306854906571,0.53958714,0.47995894745297163
2009-10-05,0.36438935800567374,0.35040486,0.3405260193954367,0.5345839,0.4389694581527537
2009-10-06,0.3505271796618973,0.35434395,0.3459707920837168,0.49884135,0.4357386506786255
2009-10-07,0.35108084304839526,0.3602376,0.3667351757978552,0.48181683,0.4340792354573564
2009-10-08,0.33523960010008974,0.38100255,0.36998557843688507,0.47523913,0.42188139671010205
2009-10-09,0.338306854906571,0.38859805,0.3635757614553937,0.462622,0.4225972853546278
2009-10-12,0.3405260193954367,0.38379258,0.3656976809385559,0.45805916,0.41764597314756347
2009-10-13,0.3459707920837168,0.38354364,0.3714311224984881,0.45285615,0.41772561189990365
2009-10-14,0.3667351757978552,0.38771445,0.37323896952676816,0.4503091,0.4175245185506836
2009-10-15,0.36998557843688507,0.39055926,0.35539520933081836,0.44974142,0.38556684801920915
2009-10-16,0.3635757614553937,0.37524527,0.3777983954375803,0.4256627,0.3877668904645969
2009-10-19,0.3656976809385559,0.39066243,0.37776556321786836,0.41709143,0.38649476353745194
2009-10-20,0.3714311224984881,0.3955198,0.3788622692683754,0.41410986,0.38688880708053597
2009-10-21,0.37323896952676816,0.39727303,0.41403650408924897,0.4139546,0.38656421655842355
2009-10-22,0.35539520933081836,0.4287169,0.4869510809831177,0.415042,0.3827916257025339
2009-10-23,0.3777983954375803,0.49590173,0.48682786621846397,0.41175586,0.38397910750089226
2009-10-26,0.37776556321786836,0.5133387,0.4871182731465319,0.411951,0.3610306967947705
2009-10-27,0.3788622692683754,0.5158573,0.47995894745297163,0.39527965,0.3562907761944937
2009-10-28,0.41403650408924897,0.5057049,0.4389694581527537,0.3828245,0.3312256248507529
2009-10-29,0.4869510809831177,0.4644528,0.4357386506786255,0.35917503,0.34093985367897844
2009-10-30,0.48682786621846397,0.45257735,0.4340792354573564,0.35679245,0.34582886104412713
2009-11-02,0.4871182731465319,0.45078564,0.42188139671010205,0.3618283,0.3416208101017752
2009-11-03,0.47995894745297163,0.44023448,0.4225972853546278,0.36226755,0.3403057438689972
2009-11-04,0.4389694581527537,0.44120392,0.41764597314756347,0.36221975,0.32529678306452264
2009-11-05,0.4357386506786255,0.4369131,0.41772561189990365,0.35120684,0.31812215715318765
2009-11-06,0.4340792354573564,0.43633428,0.4175245185506836,0.3406362,0.3150341882393925
2009-11-09,0.42188139671010205,0.4368689,0.38556684801920915,0.33458984,0.2676383082184033
2009-11-10,0.4225972853546278,0.4086543,0.3877668904645969,0.30306944,0.14588198591277152
2009-11-11,0.41764597314756347,0.40269265,0.38649476353745194,0.24868658,0.1488994309164639
2009-11-12,0.41772561189990365,0.40234303,0.38688880708053597,0.21009839,0.1403857069172253
2009-11-13,0.4175245185506836,0.40293112,0.38656421655842355,0.18310739,0.1397287227645972
2009-11-16,0.38556684801920915,0.40489346,0.3827916257025339,0.16644077,0.13920392131345477
2009-11-17,0.3877668904645969,0.4013117,0.38397910750089226,0.15735185,0.13308652155869827
2009-11-18,0.38649476353745194,0.40165228,0.3610306967947705,0.15150182,0.14035344894246382
2009-11-19,0.38688880708053597,0.38129273,0.3562907761944937,0.15200137,0.13248511900988408
2009-11-20,0.38656421655842355,0.3712129,0.3312256248507529,0.1499699,0.1294749546465367
