,Volatility_Copper_True_train,Volatility_Copper_3_train_LSTM
2012-08-07,0.21358827344243278,0.21328464
2012-08-08,0.21790404748652145,0.21070638
2012-08-09,0.21678070981156058,0.18633266
2012-08-10,0.21313629435705347,0.17031503
2012-08-13,0.17365390737498734,0.1724406
2012-08-14,0.1753117644306442,0.17816415
2012-08-16,0.17511345260660352,0.17940292
2012-08-17,0.18343551740665384,0.17770536
2012-08-20,0.18227598357184469,0.17980179
2012-08-21,0.17973329930323698,0.17751232
2012-08-22,0.18405451336376985,0.17532729
2012-08-23,0.17858669285603904,0.17502221
2012-08-24,0.17811703294582062,0.16381916
2012-08-27,0.1776963309404209,0.14985058
2012-08-28,0.15931950887212995,0.14660244
2012-08-29,0.14829383853660874,0.14603958
2012-08-30,0.1497181731631714,0.1392434
2012-08-31,0.14723923512066175,0.12197943
2012-09-03,0.13728059602144602,0.10761293
2012-09-04,0.10829990834643369,0.116044976
2012-09-05,0.10501448652153714,0.11880384
2012-09-06,0.12215598706337236,0.1320785
2012-09-07,0.11795777959796908,0.13902768
2012-09-10,0.14086802896618802,0.13975528
2012-09-11,0.14195623740965332,0.1405792
2012-09-12,0.14147400783899997,0.13348053
2012-09-13,0.1431526259696436,0.121871844
2012-09-14,0.12939059407265543,0.120174505
2012-09-17,0.11811933683808443,0.12143217
2012-09-18,0.12354100412066996,0.117779076
2012-09-19,0.12161829468595511,0.11633696
2012-09-20,0.11651092587051712,0.11702845
2012-09-21,0.1176631456870362,0.13439968
2012-09-24,0.11786702732276219,0.13945806
2012-09-25,0.14388390278475607,0.14398912
2012-09-26,0.14166406782867866,0.1425716
2012-09-27,0.1484607143523641,0.14098836
2012-09-28,0.14218204075559934,0.1392776
2012-10-01,0.14380731244946518,0.13424261
2012-10-03,0.1395369749376046,0.13319051
2012-10-04,0.13398755467254206,0.13558355
2012-10-05,0.13577570764943062,0.13688135
2012-10-08,0.13813750142690936,0.13719974
2012-10-09,0.13889866476549398,0.14029042
2012-10-10,0.13906762401700254,0.14190027
2012-10-11,0.143922703559387,0.15114708
2012-10-12,0.14371233168066735,0.15525468
2012-10-15,0.15752737003353987,0.15680027
2012-10-16,0.15834427364543166,0.15970525
2012-10-17,0.1597321452445404,0.15129776
2012-10-18,0.16339701341928434,0.14837538
